Uen,Regional,Canal Comercial,Marquilla,Código Producto,Producto,min_Anio,min_Mes
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10338411,BROCHA PROFESIONAL PLASTICO BLANCA 4 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10338423,"BROCHA PROFESIONAL MADERA BLANCA POLIESTER 2,5 PULGADAS",2022,2
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10338435,FELPA PROFESIONAL ALTA DENSIDAD 9 PULGADAS TRES CUARTOS,2023,11
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10338436,FELPA PROFESIONAL ALTA DENSIDAD 9 PULGADAS TRES OCTAVOS,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10338437,FELPA PROFESIONAL ALTA DENSIDAD 9 PULGADAS 1 UN CUARTO,2023,9
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10338438,FELPA ESTANDAR BAJA DENSIDAD 9 PULGADAS TRES CUARTOS,2023,11
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10338439,FELPA ESTANDAR BAJA DENSIDAD 9 PULGADAS TRES OCTAVOS,2023,6
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375582,BROCHA ESTANDAR CERDA BLANCA 2 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375583,BROCHA ESTANDAR CERDA BLANCA 1 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375584,"BROCHA ESTANDAR CERDA BLANCA 1,5 PULG PINTUCO",2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375585,"BROCHA ESTANDAR CERDA BLANCA 2,5 PULG PINTUCO",2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375586,BROCHA ESTANDAR CERDA BLANCA 3 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375587,BROCHA ESTANDAR CERDA BLANCA 4 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375589,BROCHA ESTANDAR CERDA NEGRA 1 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375590,"BROCHA ESTANDAR CERDA NEGRA 1,5 PULG PINTUCO",2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375591,BROCHA ESTANDAR CERDA NEGRA 2 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375592,"BROCHA ESTANDAR CERDA NEGRA 2,5 PULG PINTUCO",2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375593,BROCHA ESTANDAR CERDA NEGRA 3 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375594,BROCHA ESTANDAR CERDA NEGRA 4 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375608,ESPATULA FLEXIBLE MANGO PLASTICO PINTUCO 4 PULG,2022,2
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375609,ESPATULA PROFESIONAL PINTUCO 14 EN 1,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375611,CINTA MASKING AZUL PINTUCO 3/4PULG X 40 MT,2022,10
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375612,CINTA MASKING AZUL PINTUCO 1/2PULG X 40 MT,2023,10
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375614,CINTA MASKING GENERAL PINTUCO 3/4PULG X 40 MT,2022,3
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375615,CINTA MASKING GENERAL PINTUCO 1/2PULG X 40 MT,2023,10
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375616,LIJA AGUA PINTUCO/ABRACOL GRANO 80,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375617,LIJA AGUA PINTUCO/ABRACOL GRANO 120,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375618,LIJA AGUA PINTUCO/ABRACOL GRANO 150,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375619,LIJA AGUA PINTUCO/ABRACOL GRANO 180,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375620,LIJA AGUA PINTUCO/ABRACOL GRANO 220,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375621,LIJA AGUA PINTUCO/ABRACOL GRANO 320,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375622,LIJA AGUA PINTUCO/ABRACOL GRANO 400,2023,10
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10375964,CEPILLO DE ALAMBRE PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10385521,PISTOLA CALAFATERA PIN/NAR GAVILAN COLORAO 6666002,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10391920,ROLLO CARTON 10 M2,2022,6
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10399918,BROCHA ULTRA PRO MADERA 1 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10399919,BROCHA ULTRA PRO MADERA 2 PULG PINTUCO,2023,11
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10399921,BROCHA ULTRA PRO MADERA 3 PULG PINTUCO,2023,11
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10399922,BROCHA ULTRA PRO MADERA 4 PULG PINTUCO,2023,9
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10399923,BROCHA AQUA PRO MADERA 1 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10399924,BROCHA AQUA PRO MADERA 2 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10399925,"BROCHA AQUA PRO MADERA 2,5 PULG ANGULAR PINTUCO",2023,11
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10399926,BROCHA AQUA PRO MADERA 3 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10399927,BROCHA AQUA PRO MADERA 4 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400517,RODILLO PROFESIONAL ALTA DENSIDAD 9 PULG 3/4 PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400518,RODILLO PROFESIONAL ALTA DENSIDAD 9 PULG 3/8 PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400519,RODILLO ESTANDAR BAJA DENSIDAD 9 PULG 3/4 PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400520,RODILLO MICROFIBRA 9 PULG 9/16 PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400521,FELPA MICROFIBRA 9 PULG 9/16 PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400522,RODILLO ANTIGOTA 9 PULG 3/8 PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400523,FELPA ANTIGOTA 9 PULG 3/8 PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400524,RODILLO ANTIGOTA EXTERIOR 9 PULG 3/4 PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400525,FELPA ANTIGOTA EXTERIOR 9 PULG 3/4 PINTUCO,2023,11
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400526,MINI RODILLO ANTIGOTA 4 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400527,FELPA MINI ANTIGOTA 4 PULG PINTUCO PACK X 2,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400528,FELPA MINI ANTIGOTA 4 PULG PINTUCO PACK X 5,2023,2
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400529,MINI RODILLO PROFESIONAL BLANCO 4 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400530,FELPA MINI PROFESIONAL BLANCO 4 PULG PINTUCO PACK X 10,2023,6
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400531,MANERAL PROFESIONAL SIN JAULA 9 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400532,BANDEJA PROFESIONAL 4 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400536,"EXTENSION METALICA PINTUCO 1,2 - 2,4 M",2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400537,MEZCLADOR PLASTICO PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400538,DESTAPA CUNETES PLASTICO PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400539,PLASTICO PROTECTOR 20M PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400540,ESPATULA FLEXIBLE PROFESIONAL INOX 1 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400541,ESPATULA FLEXIBLE PROFESIONAL INOX 2 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400542,ESPATULA FLEXIBLE PROFESIONAL INOX 3 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400543,ESPATULA FLEXIBLE PROFESIONAL INOX 4 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400544,ESPATULA FLEXIBLE PROFESIONAL INOX 5 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400545,ESPATULA FLEXIBLE PROFESIONAL INOX 6 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400546,ESPATULA FLEXIBLE PROFESIONAL INOX 8 PULG PINTUCO,2023,11
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,10400547,LLANA PROFESIONAL INOX PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,20003021,LIJA AGUA PINTUCO-ABRACOL GRANO 600,2023,11
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,20003022,LIJA AGUA PINTUCO-ABRACOL GRANO 1000,2023,10
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,20003023,LIJA AGUA PINTUCO-ABRACOL GRANO 100,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,20009736,MINI RODILLO EPOXICO 4 PULG,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,20010936,PANOS ABSORBENTES DE LIMPIEZA MULTIUSOS P120,2023,11
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,20010937,PANOS ABSORBENTES INDUSTRIAL MULTIUSOS P70,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,20015172,RESPIRADOR 3M REUTILIZABLE DOBLE VIA PARA PINTURA,2022,6
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,20015173,MONOGAFAS 3M DE PROTECCION,2023,6
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,20015174,CINTA SCOTCH 3M BLUE TAPE PARA PINTAR 18MM X 55M,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,20015175,CINTA SCOTCH 3M BLUE TAPE PARA PINTAR 24MM X 55M,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,20015176,CINTA SCOTCH 3M BLUE TAPE PARA PINTAR 48MM X 55M,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,20015177,CINTA DE ENMASCARAR SCOTCH 3M 18MM X 40M,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,20015178,CINTA DE ENMASCARAR SCOTCH 3M 24MM X 40M,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,20015179,CINTA DE ENMASCARAR SCOTCH 3M 48MM X 40M,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,20015183,CINTA SCOTCH 3M BLUE TAPE PARA PINTAR 36MM X 55M,2023,10
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Tiendas,PINTUCO,20015184,CINTA DE ENMASCARAR SCOTCH 3M 36MM X 40M,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Cadenas y Grandes Superficies,PINTUCO,10338390,BANDEJA PROFESIONAL 9 PULG CSU4809 PINTUCO,2022,5
ACC PARA PINTAR,REGIONAL BOGOTA,Cadenas y Grandes Superficies,PINTUCO,10375582,BROCHA ESTANDAR CERDA BLANCA 2 PULG PINTUCO,2022,6
ACC PARA PINTAR,REGIONAL BOGOTA,Cadenas y Grandes Superficies,PINTUCO,10375586,BROCHA ESTANDAR CERDA BLANCA 3 PULG PINTUCO,2022,6
ACC PARA PINTAR,REGIONAL BOGOTA,Cadenas y Grandes Superficies,PINTUCO,10400520,RODILLO MICROFIBRA 9 PULG 9/16 PINTUCO,2022,7
ACC PARA PINTAR,REGIONAL BOGOTA,Cadenas y Grandes Superficies,PINTUCO,10400522,RODILLO ANTIGOTA 9 PULG 3/8 PINTUCO,2022,4
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,BRIZZE,10401585,BRIZZE CARE GEL ANTIBACTERIAL 200ML,2022,2
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,OTROS,10393620,FELPA NESPOLI TRIPOL ANTIGOTA 9 PULG,2022,1
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,OTROS,10393623,RODILLO NESPOLI TRIPOL ANTIGOTA FACHADA 9 PULG,2023,9
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,OTROS,10393624,RODILLO NESPOLI MICROMIX ANTIGOTA 9 PULG,2023,8
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,OTROS,10398881,WAGNER CONTROL SPRAY 100 - OPTI STAIN SPRAYER,2023,11
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,OTROS,10398882,WAGNER W600 - CONTROL SPRAY 200,2023,11
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,OTROS,10399328,WAGNER PAINT READY SPRAYER,2022,4
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,OTROS,20000461,GRACO SPRAYER ULTRA 395,2022,8
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10338382,FELPA PROFESIONAL EPOXICAS 9 PULGADAS,2022,7
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10338383,FELPA PROFESIONAL TEXTURAS 9 PULGADAS,2022,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10338385,MANERAL ELITE CON JAULA SIN FELPA 9 PULGADAS,2022,7
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10338390,BANDEJA PROFESIONAL 9 PULG CSU4809 PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10338393,"BROCHA PROFESIONAL MADERA BLANCA 1,5 PULGADAS",2022,8
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10338406,BROCHA PROFESIONAL PLASTICO BLANCA 1 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10338407,"BROCHA PROFESIONAL PLASTICO BLANCA 1,5 PULG PINTUCO",2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10338408,BROCHA PROFESIONAL PLASTICO BLANCA 2 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10338409,"BROCHA PROFESIONAL PLASTICO BLANCA 2,5 PULG PINTUCO",2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10338410,BROCHA PROFESIONAL PLASTICO BLANCA 3 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10338411,BROCHA PROFESIONAL PLASTICO BLANCA 4 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10338435,FELPA PROFESIONAL ALTA DENSIDAD 9 PULGADAS TRES CUARTOS,2022,7
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10338436,FELPA PROFESIONAL ALTA DENSIDAD 9 PULGADAS TRES OCTAVOS,2022,7
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10338437,FELPA PROFESIONAL ALTA DENSIDAD 9 PULGADAS 1 UN CUARTO,2022,3
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375582,BROCHA ESTANDAR CERDA BLANCA 2 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375583,BROCHA ESTANDAR CERDA BLANCA 1 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375584,"BROCHA ESTANDAR CERDA BLANCA 1,5 PULG PINTUCO",2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375585,"BROCHA ESTANDAR CERDA BLANCA 2,5 PULG PINTUCO",2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375586,BROCHA ESTANDAR CERDA BLANCA 3 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375587,BROCHA ESTANDAR CERDA BLANCA 4 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375589,BROCHA ESTANDAR CERDA NEGRA 1 PULG PINTUCO,2023,11
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375590,"BROCHA ESTANDAR CERDA NEGRA 1,5 PULG PINTUCO",2023,11
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375591,BROCHA ESTANDAR CERDA NEGRA 2 PULG PINTUCO,2023,11
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375592,"BROCHA ESTANDAR CERDA NEGRA 2,5 PULG PINTUCO",2023,11
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375593,BROCHA ESTANDAR CERDA NEGRA 3 PULG PINTUCO,2023,11
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375594,BROCHA ESTANDAR CERDA NEGRA 4 PULG PINTUCO,2023,11
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375601,PAD PAINT 9PULG,2023,5
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375603,ESPATULA PROFESIONAL PINTUCO CON ROSCA PARA EXTENSION 2 PULG,2023,1
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375609,ESPATULA PROFESIONAL PINTUCO 14 EN 1,2023,11
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375616,LIJA AGUA PINTUCO/ABRACOL GRANO 80,2023,7
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375617,LIJA AGUA PINTUCO/ABRACOL GRANO 120,2023,7
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375618,LIJA AGUA PINTUCO/ABRACOL GRANO 150,2022,7
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375619,LIJA AGUA PINTUCO/ABRACOL GRANO 180,2023,7
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10375620,LIJA AGUA PINTUCO/ABRACOL GRANO 220,2023,4
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10399923,BROCHA AQUA PRO MADERA 1 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10399924,BROCHA AQUA PRO MADERA 2 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10399925,"BROCHA AQUA PRO MADERA 2,5 PULG ANGULAR PINTUCO",2023,7
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10399926,BROCHA AQUA PRO MADERA 3 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10399927,BROCHA AQUA PRO MADERA 4 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400517,RODILLO PROFESIONAL ALTA DENSIDAD 9 PULG 3/4 PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400518,RODILLO PROFESIONAL ALTA DENSIDAD 9 PULG 3/8 PINTUCO,2023,10
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400519,RODILLO ESTANDAR BAJA DENSIDAD 9 PULG 3/4 PINTUCO,2023,11
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400520,RODILLO MICROFIBRA 9 PULG 9/16 PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400521,FELPA MICROFIBRA 9 PULG 9/16 PINTUCO,2022,7
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400522,RODILLO ANTIGOTA 9 PULG 3/8 PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400523,FELPA ANTIGOTA 9 PULG 3/8 PINTUCO,2023,11
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400524,RODILLO ANTIGOTA EXTERIOR 9 PULG 3/4 PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400525,FELPA ANTIGOTA EXTERIOR 9 PULG 3/4 PINTUCO,2022,7
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400526,MINI RODILLO ANTIGOTA 4 PULG PINTUCO,2022,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400529,MINI RODILLO PROFESIONAL BLANCO 4 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400531,MANERAL PROFESIONAL SIN JAULA 9 PULG PINTUCO,2022,9
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400532,BANDEJA PROFESIONAL 4 PULG PINTUCO,2023,6
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400536,"EXTENSION METALICA PINTUCO 1,2 - 2,4 M",2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400537,MEZCLADOR PLASTICO PINTUCO,2023,10
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400538,DESTAPA CUNETES PLASTICO PINTUCO,2023,8
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400539,PLASTICO PROTECTOR 20M PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400540,ESPATULA FLEXIBLE PROFESIONAL INOX 1 PULG PINTUCO,2023,9
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400541,ESPATULA FLEXIBLE PROFESIONAL INOX 2 PULG PINTUCO,2023,11
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400542,ESPATULA FLEXIBLE PROFESIONAL INOX 3 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400543,ESPATULA FLEXIBLE PROFESIONAL INOX 4 PULG PINTUCO,2023,10
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400544,ESPATULA FLEXIBLE PROFESIONAL INOX 5 PULG PINTUCO,2023,11
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400545,ESPATULA FLEXIBLE PROFESIONAL INOX 6 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400546,ESPATULA FLEXIBLE PROFESIONAL INOX 8 PULG PINTUCO,2023,10
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,10400547,LLANA PROFESIONAL INOX PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,20003023,LIJA AGUA PINTUCO-ABRACOL GRANO 100,2022,1
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,20009736,MINI RODILLO EPOXICO 4 PULG,2023,10
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,20010936,PANOS ABSORBENTES DE LIMPIEZA MULTIUSOS P120,2023,6
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,20010937,PANOS ABSORBENTES INDUSTRIAL MULTIUSOS P70,2022,7
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,20015172,RESPIRADOR 3M REUTILIZABLE DOBLE VIA PARA PINTURA,2022,12
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,20015174,CINTA SCOTCH 3M BLUE TAPE PARA PINTAR 18MM X 55M,2023,10
ACC PARA PINTAR,REGIONAL BOGOTA,Distribución,PINTUCO,20015175,CINTA SCOTCH 3M BLUE TAPE PARA PINTAR 24MM X 55M,2023,7
